Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Revista de Economie Mondială,2066-7795,2343-9521,Romanian,Institute for World Economy,No,CC BY-NC,No
Jurnal Ilmu Komunikasi,1829-6564,2548-8643,"English, Indonesian",Universitas Atma Jaya Yogyakarta,No,CC BY,No
Estudios de Fonética Experimental,1575-5533,2385-3573,"Catalan, English, French, Galician, Spanish",Universitat de Barcelona,No,CC BY-NC-ND,No
Revista Thema,1517-6312,2177-2894,Portuguese,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio-Grandense",No,CC BY-NC,No
Jurnal Pendidikan Karakter,2089-5003,2527-7014,"English, Indonesian",Universitas Negeri Yogyakarta,No,CC BY-SA,No
Revista Polyphonía,2236-0514,2238-8850,Portuguese,Universidade Federal de Goiás,No,CC BY-NC,No
Endangered Species Research,1863-5407,1613-4796,English,Inter-Research,No,CC BY,Yes
Query: Jurnal Sistem Informasi,,2579-5341,Indonesian,Univesitas Islam Negeri Sumatera Utara,No,CC BY,Yes
Jurnal Sejarah Citra Lekha,,2443-0110,Indonesian,Universitas Diponegoro,No,CC BY-SA,No
Revista IBRACON de Estruturas e Materiais,,1983-4195,English,Instituto Brasileiro do Concreto (IBRACON),No,CC BY,No
European Medical Journal Gastroenterology,,2054-6203,English,European Medical Journal,No,CC BY-NC,No
Jurnal Mercumatika: Jurnal Penelitian Matematika dan Pendidikan Matematika,,2548-1819,Indonesian,Universitas Mercu Buana Yogyakarta,No,CC BY,No
Jurnal Akuntabilitas Manajemen Pendidikan,2337-7895,2461-0550,Indonesian,Universitas Negeri Yogyakarta,No,CC BY-SA,Yes
Jurnal Riset Manajemen Sains Indonesia,,2301-8313,Indonesian,Universitas Negeri Jakarta,No,CC BY-NC-SA,No
Sistemnì Doslìdženâ ta Informacìjnì Tehnologìï,1681-6048,2308-8893,Ukrainian,Igor Sikorsky Kyiv Polytechnic Institute,No,CC BY-ND,No
Inge-Cuc,0122-6517,2382-4700,"English, Spanish",Universidad de la Costa,No,CC BY-NC-ND,No
Kesmas Indonesia: Jurnal Ilmiah Kesehatan Masyarakat,2085-9929,2579-5414,Indonesian,Jenderal Soedirman University,No,CC BY,Yes
Indonesian Journal of Early Childhood Education Studies,2252-8415,,"Indonesian, English",Universitas Negeri Semarang,No,CC BY,No
Animal Behavior and Cognition,2372-5052,2372-4323,English,Animal Behavior and Cognition,No,CC BY,No
Innovative Journal of Curriculum and Educational Technology,2252-7125,,"English, Indonesian",Universitas Negeri Semarang,No,CC BY,Yes
Sanitasi: Jurnal Kesehatan Lingkungan,1978-5763,2579-3896,Indonesian,Poltekkes Kemenkes Yogyakarta,No,CC BY-SA,No
International Journal of Hospital Based Health Technology Assessment,,2371-5359,"English, French",CybelePress,No,CC BY-NC,No
Public Health Perspective Journal,2528-5998,2540-7945,Indonesian,Universitas Negeri Semarang,No,CC BY,No
Journal of European Periodical Studies,,2506-6587,English,Ghent University,No,CC BY,No
Media Komunikasi Teknik Sipil,0854-1809,2549-6778,"English, Indonesian",Universitas Diponegoro,No,CC BY-NC-ND,No
Studia Universitatis Vasile Goldis: Seria Stiintele Vietii,1584-2363,1842-7863,English,"Vasile Goldis Western University, Arad",No,CC BY-NC-SA,No
Revista Eletrônica do Departamento de Ciências Contábeis & Departamento de Atuária e Métodos Quantitativos,,2446-9513,Portuguese,Pontifícia Universidade Católica de São Paulo,No,CC BY-NC-ND,No
"Simetris: Jurnal Teknik Mesin, Elektro dan Ilmu Komputer",2252-4983,2549-3108,Indonesian,Universitas Muria Kudus,No,CC BY,No
Kajian Linguistik dan Sastra,,2541-2558,"English, Indonesian",Muhammadiyah University Press,No,CC BY,No
Cuadernos de Gestión de Información,,2253-8429,"English, Spanish",Universidad de Murcia,No,CC BY,No
Medioevi,,2465-2326,"Spanish, Italian, French, English, Catalan",Università degli Studi di Verona,No,CC BY-NC-ND,No
Revista de la Academia,0717-1846,0719-6318,Spanish,Universidad Academia de Humanismo Cristiano,No,CC BY-NC-ND,No
PragMATIZES,,2237-1508,Portuguese,Universidade Federal Fluminense (UFF),No,CC BY,No
Indonesian Journal of Data and Science,,2715-9930,Indonesian,Yocto Brain,No,CC BY-NC,No
Polish Journal of Social Rehabilitation,2081-3767,2392-2656,"English, Polish",Fundacja Pedagagium,No,CC BY,Yes
Ежегодник Япония,2687-1432,2687-1440,Russian,Nauka,No,CC BY,No
Indian Journal of Neurosurgery,2277-954X,2277-9167,English,"Thieme Medical Publishers, Inc.",No,"CC BY, CC BY-NC-ND",No
Prostranstvennaâ Èkonomika,1815-9834,2587-5957,Russian,Economic Research Institute of the Far East Branch of the Russian Academy of Sciences,No,CC BY,No
Researches in Mathematics,2664-4991,2664-5009,"English, Ukrainian",Oles Honchar Dnipro National University,No,CC BY,Yes
"Hystrix, the Italian Journal of Mammalogy",0394-1914,1825-5272,English,Associazione Teriologica Italiana,No,CC BY-NC,No
Gondola,2145-4981,,"Portuguese, Spanish",Universidad Distrital Francisco José de Caldas,No,CC BY-NC-ND,No
Розвиток методів управління та господарювання на транспорті,2226-1915,2415-3893,"English, Russian, Ukrainian",Odessa National Maritime University,No,CC BY,Yes
Area,0328-1337,2591-5312,Spanish,"Universidad de Buenos Aires. Facultad de Arquitectura, Diseño y Urbanismo",No,CC BY-NC-ND,No
Journal of Academic Ophthalmology,,2475-4757,English,"Thieme Medical Publishers, Inc.",No,"CC BY, CC BY-NC-ND",Yes
Cuadernos de Geografía: Revista Colombiana de Geografía,0121-215X,2256-5442,"English, Portuguese, Spanish",Universidad Nacional de Colombia,No,CC BY-NC-ND,No
Educação: Teoria e Prática,1517-9869,1981-8106,Portuguese,Universidade Estadual Paulista Júlio de Mesquita Filho,No,CC BY,No
Dialogue and Discourse,,2152-9620,English,Linguistic Society of America,No,CC BY,No
Sri Lankan Journal of Infectious Diseases,2012-8169,2448-9654,English,Sri Lankan Society for Microbiology,No,CC BY,No
Bulletin of the Marine Geology,1410-6175,2527-8843,English,Marine Geological Institute of Indonesia,No,CC BY-NC-SA,No
Journal of Industrial Engineering and Management,2013-8423,2013-0953,English,OmniaScience,No,CC BY,Yes
Journal of Research and Educational Research Evaluation,2252-6420,,"English, Indonesian",Universitas Negeri Semarang,No,CC BY,Yes
Medicina v Kuzbasse,1819-0901,2588-0411,Russian,The Publishing House Medicine and Enlightenment,No,CC BY,No
BAF-Online,,2504-2076,English,Bern Open Publishing,No,CC BY,No
Odisea: Revista de Estudios Migratorios,,2408-445X,Spanish,Universidad de Buenos Aires,No,CC BY-NC-SA,No
IAFOR Journal of the Social Sciences,,2187-0640,English,The International Academic Forum,No,Publisher's own license,No
Revista Brasileira do Caribe,1518-6784,1984-6169,"English, Portuguese, Spanish",Universidade Federal do Maranhão,No,CC BY-NC-ND,No
Comunicación,0120-1166,2390-0075,Spanish,Universidad Pontificia Bolivariana,No,CC BY-NC,No
Annals of computer science and information systems,,2300-5963,English,Polish Information Processing Society,No,CC BY,No
Jurnal Energi Dan Manufaktur,2302-5255,2541-5328,"English, Indonesian",Universitas Udayana,No,CC BY,No
"Indonesian EFL Journal: Journal of ELT, Linguistics, and Literature",2460-0938,2460-2604,English,"Language Center of Islamic Institute of Uluwiyah, Mojokerto",No,CC BY-SA,No
JPAS (Journal of Public Administration Studies),2548-902X,2541-6979,"English, Indonesian",University of Brawijaya,No,CC BY-NC,Yes
Edukasi,0852-0240,,"English, Indonesian",Universitas Negeri Semarang,No,CC BY,No
Acta Stomatologica Croatica,0001-7019,1846-0410,"Croatian, English",University of Zagreb. School of Dental Medicine,No,CC BY-NC-ND,No
Image Processing On Line,,2105-1232,English,Image Processing On Line,No,CC BY-NC-SA,No
Revista Investigações,0104-1320,2175-294X,Portuguese,Universidade Federal de Pernambuco,No,CC BY,No
Berkala Ilmu Perpustakaan dan Informasi,1693-7740,2477-0361,"English, Indonesian",Universitas Gadjah Mada,No,CC BY-SA,No
University of Sindh Journal of Information and Communication Technology,2521-5582,2523-1235,English,University of Sindh,No,CC BY-ND,No
Encounters on Education,1494-4936,1925-8992,"English, French, Spanish",Queen's University,No,Publisher's own license,No
Iberoamericana: Nordic Journal of Latin American and Caribbean Studies,,2002-4509,"English, Spanish",Stockholm University Press,Yes,CC BY,No
JAREE (Journal on Advanced Research in Electrical Engineering),2580-0361,2579-6216,English,Institut Teknologi Sepuluh Nopember,No,CC BY-NC,No
Journal of Research in Technical Careers,,2578-2118,English,"University of Nevada, Las Vegas, Department of Teaching and Learning",No,CC BY-NC-ND,Yes
Jurnal Biologi Universitas Andalas,2303-2162,2655-9587,Indonesian,Jurusan Biologi Universitas Andalas,No,CC BY-NC-SA,Yes
Southwest Respiratory and Critical Care Chronicles,,2325-9205,English,Southwest Respiratory and Critical Care Chronicles,No,CC BY-SA,No
Wind Energy Science,2366-7443,2366-7451,English,Copernicus Publications,Yes,CC BY,Yes
Journal of Basic and Applied Zoology,2090-9896,2090-990X,English,SpringerOpen,Yes,CC BY,No
INTERthesis,,1807-1384,"English, Portuguese, Spanish",Universidade Federal de Santa Catarina,No,CC BY,No
Boletín Científico Sapiens Research,,2215-9312,Spanish,Sapiens Research Group,No,CC BY-SA,No
BioImpacts,2228-5652,2228-5660,English,Tabriz University of Medical Sciences,No,CC BY-NC,No
Revista Internacional de Investigación en Ciencias Sociales,2225-5117,2226-4000,"Portuguese, Spanish",Universidad Autónoma de Asunción,No,CC BY-NC-ND,No
Peloro,,2499-8923,"Italian, English",University of Messina,No,CC BY-NC-ND,No
The Journal of Quality in Education,2028-1897,,"English, French",amaquen,No,CC BY-SA,No
Argumentos,1806-5627,2527-2551,"English, Spanish, Portuguese",Universidade Estadual de Montes Claros,No,CC BY-NC-ND,No
Punto Género,,0719-0417,"Portuguese, Spanish",Universidad de Chile,No,CC BY,No
Janus: Estudios sobre el Siglo de Oro,,2254-7290,"English, Spanish",Universidade da Coruña,No,CC BY-NC-ND,No
Egyptian Journal of Neurosurgery,,2520-8225,English,SpringerOpen,No,CC BY,No
Nova Perspectiva Sistêmica,0104-7841,2594-4363,Portuguese,Instituto Noos,No,CC BY,No
Vestnik Omskoj Ûridičeskoj Akademii,2306-1340,2410-8812,Russian,Omsk Law Academy,No,CC BY,No
Tempo e Argumento,,2175-1803,"English, French, Portuguese, Spanish",Universidade do Estado de Santa Catarina,No,CC BY-NC-ND,No
Metalurgija,0543-5846,1334-2576,English,Croatian Metallurgical Society,No,CC BY,Yes
Pedagogia: Jurnal Pendidikan,2089-3833,2548-2254,Indonesian,Universitas Muhammadiyah Sidoarjo,No,CC BY,No
Diversidade Religiosa,,2317-0476,Portuguese,Universidade Federal da Paraíba,No,CC BY,No
Revista de Direito Sociais e Políticas Públicas,,2525-9881,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Farmeconomia: Health Economics and Therapeutic Pathways,,2240-256X,English,SEEd Medical Publishers,Yes,CC BY-NC,Yes
ARQUISUR Revista,1853-2365,2250-4206,"Portuguese, Spanish",Ediciones UNL,No,CC BY-NC-ND,No
"Revista Sociedade, Contabilidade e Gestão",,1982-7342,Portuguese,Universidade Federal do Rio de Janeiro,No,CC BY,No
Revista Internacional de Ciencias del Deporte,,1885-3137,"Spanish, English",Ramón Cantó Alcaraz,No,CC BY-NC-ND,No
Open Rivers,,2471-190X,English,University of Minnesota Libraries Publishing,No,CC BY-NC,No
Scholar & Feminist Online,,1558-9404,English,Barnard Center for Research on Women,No,CC BY-SA,No
Online Journal of Nursing Informatics,,1089-9758,English,HIMSS,No,CC BY-NC-ND,No
Environmental and Experimental Biology,1691-8088,2255-9582,English,University of Latvia,No,Publisher's own license,No
Journal of Preventive Medicine and Public Health,1975-8375,2233-4521,English,Korean Society for Preventive Medicine,No,CC BY-NC,Yes
Satya Widya,0854-5995,2549-967X,Indonesian,Universitas Kristen Satya Wacana,No,CC BY,No
Uskonnontutkija,,1796-4407,"Finnish, Swedish",Finnish Society for the Study of Religion,No,CC BY-NC,No
Pesquisa Florestal Brasileira,1809-3647,1983-2605,"English, Portuguese",Embrapa Florestas,No,CC BY-NC-ND,No
Jurnal Pendidikan Biologi,2085-6873,2540-9271,Indonesian,Universitas Negeri Malang,No,CC BY-NC-SA,No
Jurnal Pendidikan Fisika dan Keilmuan (JPFK),2442-8868,2442-904X,Indonesian,Universitas PGRI Madiun,No,CC BY-SA,No
Revista Latinoamericana de Población,2175-8581,2393-6401,"English, Portuguese, Spanish",Asociación Latinoamericana de Población,No,CC BY-NC,No
Botanica Serbica,1821-2158,1821-2638,English,University of Belgrade,No,Publisher's own license,No
Ijtimaiyya,1979-052X,,Indonesian,Institut Agama Islam Negeri Raden Intan Lampung,No,CC BY,No
Edutech,0852-1190,2502-0781,Indonesian,Universitas Pendidikan Indonesia,No,CC BY-SA,No
Revista do Direito do Trabalho e Meio Ambiente do Trabalho,,2525-9857,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Jurnal Indria: Jurnal Ilmiah Pendidikan Prasekolah dan Sekolah Awal,2579-7255,2528-004X,Indonesian,Universitas Muhammadiyah Ponorogo,No,CC BY,No
Journal Sampurasun,2460-5735,2460-5743,"English, Indonesian",Universitas Pasundan,No,CC BY,No
EQUILIBRIUM: Jurnal Ilmiah Ekonomi dan Pembelajarannya,2303-1565,2502-1575,Indonesian,Universitas PGRI Madiun,No,CC BY-SA,Yes
eNeurobiologia,2007-3054,,"English, Spanish",Universidad Vereacruzana,No,CC BY-NC,No
AL-MURABBI: Jurnal Studi Kependidikan dan Keislaman,2406-775X,2540-7619,"English, Indonesian",Lembaga Penelitian dan Pengabdian Masyarakat (LP2M),No,CC BY-SA,No
Tidsskrift for Professionsstudier,2446-0273,2446-0281,Danish,Aarhus University,No,CC BY-ND,No
Journal of Experimental Research,2315-9650,,English,"Enugu State University of Science and Technology, ESUT, Enugu, Nigeria.",No,CC BY,No
Urvio,1390-3691,1390-4299,Spanish,"Facultad Latinoamericana de Ciencias Sociales, Sede Ecuador",No,CC BY,No
International Journal of Active Learning,2528-505X,,English,Universitas Negeri Semarang,No,CC BY,No
Law and Method,,2352-7927,"Dutch, English",Boom uitgevers Den Haag,No,CC BY-NC,No
Journal of Clinical & Developmental Psychology,,2612-4033,English,CeRIP,No,CC BY,No
International Journal of Environment,,2091-2854,English,Progressive Sustainable Developers Nepal,No,CC BY-NC,No
Cuadernos de Filología Italiana,1133-9527,1988-2394,"English, Italian, Spanish",Universidad Complutense de Madrid,No,CC BY,No
Bulgarian Journal of Veterinary Medicine,1311-1477,1313-3543,English,"Faculty of Veterinary Medicine, Trakia University, Stara Zagora, Bulgaria",No,CC BY-NC-ND,No
Ars Iuris Salmanticensis,,2340-5155,Spanish,Universidad de Salamanca,No,CC BY-NC-ND,No
Revista Letras Raras,,2317-2347,Portuguese,Universidade Federal de Campina Grande,No,CC BY,No
Cadernos Espinosanos,1413-6651,2447-9012,Portuguese,Universidade de São Paulo,No,CC BY,No
Revista Ibero-Americana de Estudos em Educação,2446-8606,1982-5587,Portuguese,Universidade Estadual Paulista Júlio de Mesquita Filho,No,CC BY-NC-SA,No
ECNU Review of Education,2096-5311,2632-1742,English,SAGE Publishing,No,"CC BY, CC BY-NC",No
Revista Criação & Crítica,,1984-1124,"French, Portuguese, Spanish",Universidade de São Paulo,No,CC BY,No
Genocide Studies and Prevention: An International Journal,1911-0359,1911-9933,English,International Association of Genocide Scholars,No,CC BY-NC,No
Estudios de Administración,0717-0653,0719-0816,"English, Spanish",Universidad de Chile,No,CC BY-NC-SA,No
Mechanics and Advanced Technologies,2521-1943,2522-4255,"English, Russian, Ukrainian",Igor Sikorsky Kyiv Polytechnic Institute,No,CC BY,No
Jurnal Belo,2460-6820,2686-5920,Indonesian,"Criminal Law Department, Faculty of Law, Pattimura University",No,CC BY-NC,No
Krymskij Naučnyj Vestnik,,2412-1657,Russian,Inter-regional Institute for Spatial Development,No,Publisher's own license,Yes
Biomedicinskaâ Inženeriâ i Èlektronika,,2311-1100,"English, Russian, Ukrainian",Kherson National Technical University,No,CC BY-NC,No
Jurnal Pembaharuan Hukum,2355-0481,2580-3085,"English, Indonesian",Unissula Press,No,CC BY,Yes
Science Editing,2288-8063,2288-7474,English,Korean Council of Science Editors,No,CC BY-NC,No
Tahiti,,2242-0665,Finnish,Society for Art History in Finland,No,CC BY-SA,No
Canadian Journal of Biotechnology,,2560-8304,English,Science Planet Inc.,No,CC BY-NC,Yes
The Journal of Educational Development,2085-4943,,"English, Indonesian",Universitas Negeri Semarang,No,CC BY,Yes
Jurnal Ilmiah Didaktika: Media Ilmiah Pendidikan dan Pengajaran,1411-612X,2355-6129,"English, Indonesian",Universitas Islam Negeri Ar-Raniry,No,CC BY,No
Revista Brasileira de Recursos Hídricos,,2318-0331,"English, Portuguese",Associação Brasileira de Recursos Hídricos,No,CC BY,No
Revista de Educación Inclusiva,1889-4208,1989-4643,"English, Portuguese, Spanish",Universidad de Jaén,No,CC BY,No
Revista de Dialectología y Tradiciones Populares,0034-7981,1988-8457,"English, Spanish",Consejo Superior de Investigaciones Científicas,No,CC BY,No
Kodifikasia,1907-6371,2527-9254,"Arabic, English, Indonesian",State Islamic Institute of Ponorogo,No,CC BY-SA,No
Future Business Journal,2314-7202,2314-7210,English,SpringerOpen,No,CC BY,No
Majallah-i ̒Ulum-i Bāghbānī,2008-4730,2423-3986,Persian,Ferdowsi University of Mashhad,No,CC BY,Yes
Psihologija,0048-5705,1451-9283,"English, Serbian",Drustvo Psihologa Srbije,No,CC BY-SA,No
Primate Biology,2363-4707,2363-4715,English,Copernicus Publications,Yes,CC BY,Yes
Revista Brasileira de Ginecologia e Obstetrícia,0100-7203,,"English, Portuguese",Federação Brasileira das Sociedades de Ginecologia e Obstetrícia,No,CC BY,No
Signum: Estudos da Linguagem,1516-3083,2237-4876,"Spanish, Portuguese, Italian, French, English",Universidade Estadual de Londrina,No,CC BY,No
Physical Review Special Topics. Accelerators and Beams,,1098-4402,English,American Physical Society,No,CC BY,No
Advances in Redox Research,,2667-1379,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Government and Economics,,2667-3193,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Indonesia Medicus Veterinus,2301-7848,,"Indonesian, English",Universitas Udayana,No,CC BY,Yes
"Измерение, мониторинг, управление, контроль",2307-5538,,"English, Russian",Penza State University Publishing House,No,CC BY,No
Ecomatemático,1794-8231,,Spanish,Universidad Francisco de Paula Santander,No,CC BY,No
Humana.Mente: Journal of Philosophical Studies,,1972-1293,"Italian, English",Associazione Culturale Humana.Mente,No,CC BY-NC-ND,No
Creative Arts in Education and Therapy,2451-876X,2468-2306,English,Inspirees International B.V.,No,CC BY-NC-ND,No
Doklady Belorusskogo gosudarstvennogo universiteta informatiki i radioèlektroniki,1729-7648,,Russian,Educational institution «Belarusian State University of Informatics and Radioelectronics»,No,CC BY,No
"Міжнародні відносини, суспільні комунікації та регіональні студії",2522-1663,2524-2679,"Ukrainian, Russian, Polish, English",Lesya Ukrainka Volyn National University,No,CC BY,Yes
Advances in Science and Research,1992-0628,1992-0636,English,Copernicus Publications,Yes,CC BY,Yes
Montenegrin Journal of Economics,1800-5845,1800-6698,"Croatian, English, Russian",University of Montenegro - Faculty of Economics Podgorica,No,CC BY,No
Lingüística,,2079-312X,"Portuguese, Spanish",Asociación de Lingüística y Filología de América Latina,No,CC BY-NC,No
"Comunicação, Mídia e Consumo",,1983-7070,"English, Portuguese",Escola Superior de Propaganda e Marketing,No,CC BY,No
Revista Mundi Saúde e Biológicas,,2525-4766,Portuguese,Instituto Federal do Paraná,No,CC BY,No
Unnes Civic Education Journal,2252-6293,2549-0400,Indonesian,Universitas Negeri Semarang,No,CC BY,No
Jurnal Dinamika Manajemen,2086-0668,2337-5434,"English, Indonesian",Universitas Negeri Semarang,No,CC BY,No
JPPPF: Jurnal Penelitian & Pengembangan Pendidikan Fisika,2461-0933,2461-1433,Indonesian,Universitas Negeri Jakarta,No,CC BY,Yes
Revista Opinião Jurídica,1806-0420,2447-6641,"English, French, Portuguese, Spanish",Centro Universitário Christus,No,CC BY-NC-SA,No
Imajinasi,1829-930X,2549-6697,Indonesian,Universitas Negeri Semarang,No,CC BY,No
Edulib: Journal of Library and Information Science,2089-6549,2528-2182,Indonesian,Universitas Pendidikan Indonesia,No,CC BY-SA,No
Iranian Journal of Parasitology,1735-7020,2008-238X,English,Tehran University of Medical Sciences,No,CC BY-NC,Yes
Enfermería Actual de Costa Rica,,1409-4568,Spanish,Universidad de Costa Rica,No,CC BY-NC-SA,No
International Journal of Economic Behavior,2069-5756,2285-0430,English,Università degli Studi di Urbino Carlo Bo,No,CC BY-SA,No
Ingeniería y Ciencia,1794-9165,2256-4314,"Spanish, English",Universidad EAFIT,No,CC BY,No
Scripta Medica,2490-3329,2303-7954,"English, Serbian","Medical Society of the Republic of Srpska, Banja Luka, University of Banja Luka. Faculty of Medicine",No,CC BY,No
Historia y Comunicación Social,1137-0734,1988-3056,"English, Spanish",Universidad Complutense de Madrid,No,CC BY,No
Edukasia,2721-1150,2721-1169,"English, Indonesian",Lembaga Pendidikan Islam Ma'aarif NU Kabupaten Magetan,No,CC BY-NC-SA,No
Izumi,2338-249X,2502-3535,"English, Indonesian, Japanese",Diponegoro University,No,CC BY-SA,No
Studia Gilsoniana,2300-0066,2577-0314,"English, French, Polish, Spanish",International Étienne Gilson Society,No,CC BY-NC-ND,No
Interfaces Numériques,2258-7942,2259-1001,"English, French, Spanish",Université de Limoges,No,CC BY-NC-ND,No
Revista Médica de Rosario,0327-5019,1851-2135,Spanish,Círculo Médico de Rosario,No,CC BY-SA,No
PeerJ Materials Science,,2691-6657,English,PeerJ Inc.,No,CC BY,Yes
"Revista de Estudos Constitucionais, Hermenêutica e Teoria do Direito",,2175-2168,"English, Portuguese, Spanish",Universidade do Vale do Rio dos Sinos,No,CC BY,No
Entorno Geografico,1692-0074,2382-3518,Spanish,Universidad del Valle,No,CC BY-NC-SA,No
Revista Digital de Iconografía Medieval,2254-7312,2254-853X,Spanish,Universidad Complutense de Madrid,No,CC BY-NC-ND,No
Pacific Journal of Mathematics for Industry,,2198-4115,English,SpringerOpen,No,CC BY,No
Праці Наукового товариства імені Шевченка. Медичні науки,2708-8634,2708-8642,"English, Ukrainian",Shevchenko Scientific Society,No,CC BY,No
Acta Universitatis Lodziensis: Folia Philosophica,0208-6107,2353-9631,"English, German, Polish",Lodz University Press,No,CC BY-NC-ND,No
Rivista Italiana di Informatica e Diritto,,2704-7318,"English, French, Italian, Spanish",Consiglio Nazionale delle Ricerche (CNR),No,CC BY-NC-SA,No
Dignity,,2472-4181,English,Dignity: A Journal on Sexual Exploitation and Violence,No,CC BY-NC-ND,No
GOT - Revista de Geografia e Ordenamento do Território,,2182-1267,"English, French, Portuguese, Spanish",CEGOT,No,CC BY-NC,No
Questiones Publicitarias,,1988-8732,"Spanish, Portuguese, English",Universitat Autònoma de Barcelona,No,CC BY,No
Galáxia,1519-311X,1982-2553,"English, French, Italian, Portuguese, Spanish",Pontíficia Universidade Católica de São Paulo,No,CC BY,No
Numerical: Jurnal Matematika dan Pendidikan Matematika,2580-3573,2580-2437,Indonesian,Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,No,CC BY-SA,No
International Journal of the Analytic Hierarchy Process,,1936-6744,English,Creative Decisions Foundation,No,Publisher's own license,No
Diversitas Journal,,2525-5215,"English, Portuguese",Universidade Estadual de Alagoas,No,CC BY,No
Revista Katálysis,1414-4980,1982-0259,"English, Portuguese, Spanish",Universidade Federal de Santa Catarina,No,CC BY,No
Arxius de Miscel-lània Zoològica,,1698-0476,"Catalan, English, Spanish",Museu de Ciències Naturals de Barcelona,No,CC BY,No
Perspectivas em Medicina Legal e Perícia Médica,,2526-0928,Portuguese,Indexa Editora,No,CC BY,No
Managere,2721-1053,2721-1045,"English, Indonesian",Perkumpulan Manajer Pendidikan Islam (PERMAPENDIS) Indonesia,No,CC BY-NC-SA,No
Revista Colombiana de Contabilidad,2339-3645,,Spanish,Asociación Colombiana de Facultades de Contaduría Pública,No,CC BY-NC-SA,No
Access Microbiology,,2516-8290,English,Microbiology Society,No,CC BY-NC,Yes
Conversas & Controvérsias,,2178-5694,Portuguese,Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),No,CC BY,No
Cuestiones de Sociología,,2346-8904,"Spanish, English",Universidad Nacional de La Plata,No,CC BY-NC-SA,No
DiH,0216-6534,2654-525X,Indonesian,Law Faculty Doctor of Law Study Program  Universitas 17 Agustus 1945 Surabaya,No,CC BY-SA,No
piano b,,2531-9876,"English, Italian",University of Bologna,No,CC BY-NC-SA,No
Acta Agrophysica,1234-4125,2300-6730,"English, Polish","Institute of Agrophysics, Polish Academy of Sciences",No,CC BY-NC-ND,Yes
Acta Futura,,2309-1940,English,"European Space Agency, Advanced Concepts Team",No,CC BY,No
Народы и религии Евразии,2542-2332,2686-8040,Russian,Altai State University,No,CC BY,No
Expert Journal of Marketing,,2344-6773,English,Sprint Investify,No,CC BY,Yes
Caderno de Direito e Políticas Públicas,,2675-0678,Portuguese,Universidade Federal do Estado do Rio de Janeiro,No,CC BY-NC-ND,No
Buletin Al-Turas,0853-1692,2579-5848,"Arabic, English, Indonesian",Universitas Islam Negeri Syarif Hidayatullah Jakarta,No,CC BY-SA,No
Jurnal Dakwah Risalah,1412-0348,2654-3877,Indonesian,Fakultas Dakwah dan Komunikasi,No,CC BY-SA,No
"Atti della Accademia Peloritana dei Pericolanti : Classe di Scienze Fisiche, Matematiche e Naturali",0365-0359,1825-1242,"English, Italian",Accademia Peloritana dei Pericolanti,Yes,CC BY,No
International Islamic University Malaysia Engineering Journal,1511-788X,2289-7860,English,"IIUM Press, International Islamic University Malaysia",No,CC BY,Yes
European Papers,,2499-8249,"English, French, Italian, Spanish",European Papers (www.europeanpapers.eu),No,CC BY-NC-ND,No
Conceição/Conception,,2317-5737,"English, Portuguese",Universidade Estadual de Campinas,No,CC BY-NC-SA,No
Pitágoras 500,,2237-387X,Portuguese,Universidade Estadual de Campinas,No,CC BY-NC,No
Malaysian Journal of Pharmaceutical Sciences,1675-7319,2180-429X,English,Universiti Sains Malaysia,No,CC BY,No
Revista de Estudos e Pesquisas sobre Ensino Tecnológico,,2446-774X,Portuguese,Programa de Pós-Graduação em Ensino Tecnológico,No,CC BY,No
Revista UniVap,1517-3275,2237-1753,Portuguese,Universidade do Vale do Paraíba,No,CC BY,No
Collectivus: Revista de Ciencias Sociales,,2382-4018,Spanish,Universidad del Atlántico,No,CC BY-NC,No
The Journal of Entrepreneurial Finance,2373-1753,2373-1761,English,Pepperdine University,No,CC BY-NC,No
Managing Global Transitions,1581-6311,1854-6935,English,University of Primorska,No,CC BY-NC-ND,No
Basic and Applied Myology,1120-9992,,English,Unipress Padova,No,Publisher's own license,No
Revista Peruana de Medicina Experimental y Salud Pública,1726-4634,1726-4642,Spanish,Instituto Nacional de Salud,No,CC BY-NC,No
مجله دانشگاه علوم پزشکی جیرفت,,2538-2810,Persian,Jiroft University of Medical Sciences,No,CC BY-NC,No
Paradigms,1996-2800,2410-0854,English,University of Central Punjab,No,CC BY-NC,No
Gadjah Mada Journal of Psychology,,2407-7798,"English, Indonesian","Faculty of Psychology, Universitas Gadjah Mada",No,CC BY-SA,No
Veritas,0042-3955,1984-6746,"English, French, German, Italian, Latin, Portuguese, Spanish",Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Yes,CC BY,No
Revista Educação Por Escrito,,2179-8435,Portuguese,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),No,CC BY,No
